movieId,title_clean,year,genres,genres_clean,tags_clean,tmdb_rating,tmdb_vote_count,tmdb_weighted_rating,imdbId,tmdbId
1,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy,Adventure Animation Children Comedy Fantasy,fun pixar,7.973,19843.0,7.961664581738118,114709,862.0
2,Jumanji,1995,Adventure|Children|Fantasy,Adventure Children Fantasy,fantasy game magic board game robin williams,7.245,11286.0,7.235176320437156,113497,8844.0
3,Grumpier Old Men,1995,Comedy|Romance,Comedy Romance,moldy old,6.479,428.0,6.492418179080991,113228,15602.0
4,Waiting to Exhale,1995,Comedy|Drama|Romance,Comedy Drama Romance,,6.258,198.0,6.377849675386985,114885,31357.0
5,Father of the Bride Part II,1995,Comedy,Comedy,pregnancy remake,6.278,805.0,6.318963237798732,113041,11862.0
6,Heat,1995,Action|Crime|Thriller,Action Crime Thriller,,7.934,8315.0,7.907963011657505,113277,949.0
7,Sabrina,1995,Comedy|Romance,Comedy Romance,remake,6.213,690.0,6.27157335863327,114319,11860.0
8,Tom and Huck,1995,Adventure|Children,Adventure Children,,5.304,214.0,5.822395241947115,112302,45325.0
9,Sudden Death,1995,Action,Action,,6.0,805.0,6.0863333001687945,114576,9091.0
10,GoldenEye,1995,Action|Adventure|Thriller,Action Adventure Thriller,,6.9,4319.0,6.886986736988915,113189,710.0
11,"American President, The",1995,Comedy|Drama|Romance,Comedy Drama Romance,politics president,6.539,782.0,6.537327619555249,112346,9087.0
12,Dracula: Dead and Loving It,1995,Comedy|Horror,Comedy Horror,,6.071,1103.0,6.128067964097126,112896,12110.0
13,Balto,1995,Adventure|Animation|Children,Adventure Animation Children,,7.306,2178.0,7.253756160497807,112453,21032.0
14,Nixon,1995,Drama,Drama,politics president,6.859,397.0,6.765479485130649,113987,10858.0
15,Cutthroat Island,1995,Action|Adventure|Romance,Action Adventure Romance,,5.799,618.0,5.946883399693393,112760,1408.0
16,Casino,1995,Crime|Drama,Crime Drama,mafia,7.996,6520.0,7.961505561593886,112641,524.0
17,Sense and Sensibility,1995,Drama|Romance,Drama Romance,jane austen,7.42,1835.0,7.349775419057419,114388,4584.0
18,Four Rooms,1995,Comedy,Comedy,,5.9,2837.0,5.932983511944683,113101,5.0
19,Ace Ventura: When Nature Calls,1995,Comedy,Comedy,,6.33,4545.0,6.336644541633854,112281,9273.0
20,Money Train,1995,Action|Comedy|Crime|Drama|Thriller,Action Comedy Crime Drama Thriller,,5.871,866.0,5.971983025183167,113845,11517.0
21,Get Shorty,1995,Comedy|Crime|Thriller,Comedy Crime Thriller,hollywood,6.505,1206.0,6.507764222129405,113161,8012.0
22,Copycat,1995,Crime|Drama|Horror|Mystery|Thriller,Crime Drama Horror Mystery Thriller,serial killer,6.475,1262.0,6.480974372630289,112722,1710.0
23,Assassins,1995,Action|Crime|Thriller,Action Crime Thriller,,6.5,1701.0,6.502450287816135,112401,9691.0
24,Powder,1995,Drama|Sci-Fi,Drama Sci-Fi,,7.006,714.0,6.92001909846427,114168,12665.0
25,Leaving Las Vegas,1995,Drama|Romance,Drama Romance,alcoholism,7.3,1642.0,7.232714082691706,113627,451.0
26,Othello,1995,Drama,Drama,shakespeare,6.357,150.0,6.444959722353028,114057,16420.0
27,Now and Then,1995,Children|Drama,Children Drama,,6.869,476.0,6.7846708290084985,114011,9263.0
28,Persuasion,1995,Drama|Romance,Drama Romance,in netflix queue jane austen,7.155,145.0,6.829561704511191,114117,17015.0
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,Adventure|Drama|Fantasy|Mystery|Sci-Fi,Adventure Drama Fantasy Mystery Sci-Fi,kidnapping,7.245,1210.0,7.162767106629393,112682,902.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Crime|Drama,Crime Drama,,6.8,111.0,6.64124117448649,115012,37557.0
31,Dangerous Minds,1995,Drama,Drama,high school teacher,6.958,1262.0,6.910534626330078,112792,9909.0
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery|Sci-Fi|Thriller,Mystery Sci-Fi Thriller,brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake time travel twist ending,7.606,9094.0,7.587722044618137,114746,63.0
34,Babe,1995,Children|Drama,Children Drama,animal movie pigs villain nonexistent or not needed for good story,6.271,3113.0,6.2833870442698405,112431,9598.0
36,Dead Man Walking,1995,Crime|Drama,Crime Drama,death penalty nun,7.326,1499.0,7.250438789107717,112818,687.0
38,It Takes Two,1995,Children|Comedy,Children Comedy,twins,6.501,969.0,6.504903760890213,113442,33689.0
39,Clueless,1995,Comedy|Romance,Comedy Romance,chick flick emma funny jane austen paul rudd quotable seen more than once,7.25,4787.0,7.227104092791743,112697,9603.0
40,"Cry, the Beloved Country",1995,Drama,Drama,in netflix queue south africa,6.768,28.0,6.5651709987155655,112749,34615.0
41,Richard III,1995,Drama|War,Drama War,shakespeare,6.8,195.0,6.679126803302214,114279,31174.0
42,Dead Presidents,1995,Action|Crime|Drama,Action Crime Drama,,6.688,324.0,6.636101111772099,112819,11443.0
43,Restoration,1995,Drama,Drama,england,6.093,135.0,6.327423406720478,114272,35196.0
44,Mortal Kombat,1995,Action|Adventure|Fantasy,Action Adventure Fantasy,,5.886,2531.0,5.923556039718147,113855,9312.0
45,To Die For,1995,Comedy|Drama|Thriller,Comedy Drama Thriller,journalism,6.596,879.0,6.585846172550559,114681,577.0
46,How to Make an American Quilt,1995,Drama|Romance,Drama Romance,wedding,6.396,197.0,6.454984843961524,113347,11861.0
47,Seven (a.k.a. Se7en),1995,Mystery|Thriller,Mystery Thriller,mystery serial killer twist ending,8.382,23036.0,8.369456501304807,114369,807.0
48,Pocahontas,1995,Animation|Children|Drama|Musical|Romance,Animation Children Drama Musical Romance,,6.912,6058.0,6.90232480044447,114148,10530.0
49,When Night Is Falling,1995,Drama|Romance,Drama Romance,,,0.0,6.52899767364573,114916,8391.0
