movieId,recommendedMovieId,hybrid_score,tmdb_rating
1,3114,0.5628,7.605
1,78499,0.4703,7.804
1,356,0.4695,8.465
1,260,0.4634,8.205
1,318,0.4631,8.72
1,364,0.461,8.254
1,480,0.4546,7.968
1,1270,0.4534,8.325
1,296,0.4527,8.484
1,1196,0.4463,8.393
2,364,0.4778,8.254
2,480,0.443,7.968
2,551,0.4326,7.831
2,588,0.4275,7.653
2,595,0.4261,7.727
2,500,0.4211,7.198
2,586,0.4195,7.464
2,356,0.4193,8.465
2,367,0.4082,6.986
2,589,0.4042,8.147
3,3450,0.3511,
3,553,0.3505,7.585
3,1073,0.3494,7.484
3,736,0.3363,6.557
3,628,0.3353,7.659
3,141,0.3352,7.058
3,47,0.3268,8.382
3,589,0.3265,8.147
3,333,0.326,6.801
3,597,0.3259,7.448
4,219,0.3813,7.9
4,113,0.3779,5.933
4,510,0.3743,6.762
4,477,0.3726,7.057
4,359,0.3503,6.3
4,324,0.3503,6.781
4,515,0.3478,7.36
4,722,0.3478,7.75
4,189,0.3452,6.611
4,287,0.3429,5.567
5,1073,0.3524,7.484
5,7,0.3497,6.213
5,6944,0.3488,6.477
5,628,0.3475,7.659
5,62,0.3403,6.975
5,805,0.3394,7.391
5,277,0.3362,6.754
5,141,0.3327,7.058
5,3,0.3308,6.479
5,6,0.3284,7.934
6,293,0.4419,8.295
6,47,0.4297,8.382
6,296,0.4271,8.484
6,1089,0.4252,8.114
6,16,0.4229,7.996
6,1213,0.4189,8.452
6,1221,0.4182,8.571
6,608,0.4167,7.849
6,593,0.4153,8.345
6,858,0.415,8.686
7,915,0.4535,7.512
7,141,0.3518,7.058
7,5,0.3515,6.278
7,708,0.3485,6.082
7,62,0.3469,6.975
7,17,0.342,7.42
7,648,0.339,7.025
7,1073,0.3335,7.484
7,597,0.3314,7.448
7,36,0.3254,7.326
8,271,0.4392,6.5
8,174,0.4034,4.379
8,484,0.3989,6.129
8,542,0.3962,6.056
8,575,0.3939,6.808
8,374,0.3899,
8,217,0.3859,5.2
8,502,0.3812,5.406
8,259,0.3798,5.703
8,450,0.3764,6.736
9,786,0.3645,6.091
9,634,0.3611,3.695
9,628,0.3519,7.659
9,74,0.3418,5.868
9,879,0.3331,6.044
9,667,0.3298,5.458
9,832,0.3269,6.687
9,494,0.3264,6.343
9,376,0.318,6.452
9,724,0.3156,6.778
10,589,0.4557,8.147
10,165,0.4549,7.279
10,480,0.4537,7.968
10,356,0.4407,8.465
10,380,0.4317,7.094
10,377,0.4272,7.152
10,592,0.4272,7.232
10,648,0.4234,7.025
10,588,0.4228,7.653
10,296,0.4217,8.484
11,597,0.4416,7.448
11,440,0.435,
11,590,0.3981,7.8
11,457,0.3892,7.478
11,356,0.3866,8.465
11,587,0.386,7.233
11,539,0.3834,6.7
11,480,0.3762,7.968
11,474,0.3732,6.971
11,150,0.373,7.457
12,79274,0.3906,7.758
12,6263,0.3822,6.5
12,27311,0.3748,7.3
12,88179,0.3614,7.412
12,6379,0.3566,6.388
12,3511,0.3539,
12,92048,0.3471,6.738
12,1806,0.3467,6.949
12,152173,0.3408,8.2
12,39400,0.3381,4.563
13,1489,0.4161,7.2
13,709,0.3697,6.734
13,1919,0.3545,6.219
13,1547,0.3532,5.76
13,1566,0.343,7.491
13,4783,0.3424,6.988
13,2033,0.3422,6.434
13,4449,0.3393,6.889
13,3410,0.3384,5.0
13,6358,0.3381,6.495
14,36,0.3795,7.326
14,25,0.3767,7.3
14,52,0.3748,6.735
14,628,0.3384,7.659
14,805,0.3211,7.391
14,6,0.3158,7.934
14,17,0.3131,7.42
14,1366,0.3085,6.601
14,58,0.2983,7.917
14,608,0.2979,7.849
15,340,0.3559,6.643
15,207,0.3423,7.374
15,795,0.3357,5.247
15,491,0.3328,6.55
15,93,0.3327,5.09
15,219,0.3252,7.9
15,276,0.3239,6.393
15,415,0.3212,5.464
15,5720,0.321,6.886
15,8456,0.3207,8.172
16,1213,0.4953,8.452
16,4262,0.4408,8.156
16,1221,0.427,8.571
16,555,0.4238,7.538
16,296,0.4236,8.484
16,6,0.4208,7.934
16,1466,0.4159,7.5
16,431,0.4116,7.83
16,858,0.4081,8.686
16,1089,0.408,8.114
17,36,0.3737,7.326
17,838,0.3675,6.613
17,527,0.3545,8.569
17,141,0.3501,7.058
17,25,0.3468,7.3
17,296,0.3465,8.484
17,1,0.3429,7.973
17,337,0.3424,7.662
17,357,0.3416,6.774
17,608,0.3407,7.849
18,2691,0.4009,8.241
18,3992,0.3525,7.463
18,5298,0.3492,6.045
18,5618,0.3453,8.534
18,2730,0.344,7.993
18,6440,0.3339,7.463
18,6947,0.3322,7.192
18,1201,0.3252,8.469
18,3003,0.3243,7.339
18,6711,0.3236,7.382
19,344,0.4962,6.58
19,364,0.4351,8.254
19,367,0.4012,6.986
19,551,0.4007,7.831
19,356,0.3952,8.465
19,2,0.3922,7.245
19,480,0.3918,7.968
19,231,0.3884,6.657
19,165,0.3828,7.279
19,253,0.3824,7.389
20,7894,0.3556,7.677
20,56169,0.3478,
20,95583,0.3416,6.358
20,27478,0.3334,6.058
20,114818,0.3332,6.184
20,7007,0.3307,6.8
20,114074,0.3276,6.653
20,60522,0.3245,
20,60832,0.3222,
20,7016,0.3221,6.456
21,296,0.4373,8.484
21,457,0.4341,7.478
21,235,0.4031,7.483
21,440,0.4008,
21,480,0.3992,7.968
21,590,0.3966,7.8
21,593,0.3943,8.345
21,592,0.3928,7.232
21,318,0.3879,8.72
21,300,0.3875,7.249
22,257,0.3981,6.26
22,47,0.3884,8.382
22,293,0.3472,8.295
22,296,0.3449,8.484
22,161,0.3425,7.185
22,16,0.3415,7.996
22,6,0.341,7.934
22,364,0.3398,8.254
22,350,0.3387,6.686
22,590,0.3384,7.8
23,293,0.3277,8.295
23,165,0.315,7.279
23,3761,0.313,8.153
23,276,0.3092,6.393
23,47,0.3034,8.382
23,325,0.3033,5.471
23,259,0.3028,5.703
23,364,0.301,8.254
23,553,0.3009,7.585
23,2782,0.3005,6.857
24,4519,0.3394,7.148
24,3111,0.3317,7.168
24,2846,0.3229,6.507
24,2761,0.3173,7.953
24,3799,0.3165,6.745
